x	f(x)
1	999884.989
2	999325.808
3	997799.947
4	994808.416
5	989875.625
6	982549.264
7	972400.183
8	959022.272
9	942032.341
10	921070
11	895797.539
12	865899.808
13	831084.097
14	791080.016
15	745639.375
16	694536.064
17	637565.933
18	574546.672
19	505317.691
20	429740
21	347696.089
22	259089.808
23	163846.247
24	61911.616
25	-46746.875
26	-162141.136
27	-284262.317
28	-413080.928
29	-548546.959
30	-690590
31	-839119.361
32	-994024.192
33	-1155173.603
34	-1322416.784
35	-1495583.125
36	-1674482.336
37	-1858904.567
38	-2048620.528
39	-2243381.609
40	-2442920
41	-2646948.811
42	-2855162.192
43	-3067235.453
44	-3282825.184
45	-3501569.375
46	-3723087.536
47	-3946980.817
48	-4172832.128
49	-4400206.259
50	-4628650
51	-4857692.261
52	-5086844.192
53	-5315599.303
54	-5543433.584
55	-5769805.625
56	-5994156.736
57	-6215911.067
58	-6434475.728
59	-6649240.909
60	-6859580
61	-7064849.711
62	-7264390.192
63	-7457525.153
64	-7643561.984
65	-7821791.875
66	-7991489.936
67	-8151915.317
68	-8302311.328
69	-8441905.559
70	-8569910
71	-8685521.161
72	-8787920.192
73	-8876273.003
74	-8949730.384
75	-9007428.125
76	-9048487.136
77	-9072013.567
78	-9077098.928
79	-9062820.209
80	-9028240
81	-8972406.611
82	-8894354.192
83	-8793102.853
84	-8667658.784
85	-8517014.375
86	-8340148.336
87	-8136025.817
88	-7903598.528
89	-7641804.859
90	-7349570
91	-7025806.061
92	-6669412.192
93	-6279274.703
94	-5854267.184
95	-5393250.625
96	-4895073.536
97	-4358572.067
98	-3782570.128
99	-3165879.509
100	-2507300
101	-1805619.511
102	-1059614.192
103	-268048.553
104	570324.416
105	1456763.125
106	2392537.264
107	3378927.683
108	4417226.272
109	5508735.841
110	6654770
111	7856653.039
112	9115719.808
113	10433315.6
114	11810796.02
115	13249526.88
116	14750884.06
117	16316253.43
118	17947030.67
119	19644621.19
120	21410440
